方法,CTIS 内部 (4 类子集),ChMusic 外部 (曲目级),Gap
SVM 基线,0.993,0.250,+0.743
随机森林,1.000,0.400,+0.600
XGBoost,0.986,0.450,+0.536
软投票（随机森林 + XGBoost）,0.996,0.450,+0.546
