移调(半音),OTI 归一,未归一
0,0.0,0.0
1,0.0787,0.884
2,0.0265,0.4082
3,0.0333,0.6655
4,0.0706,0.7269
5,0.0552,0.3255
6,0.0471,0.8873
7,0.0403,0.3143
8,0.0363,0.7357
9,0.0446,0.5645
10,0.039,0.5004
11,0.0416,0.8894
