查询,目标类,最佳名次,H@1,H@5
a solo erhu performance,erhu,33,False,False
a solo banhu performance,banhu,1,True,True
a solo zhonghu performance,zhonghu,69,False,False
a solo gaoyin banhu performance,gaoyin banhu,4,False,True
a solo tuhu performance,tuhu,17,False,False
