目标类,英文查询,英文最佳名次,中文查询,中文最佳名次
erhu,a solo erhu performance,33,二胡独奏,26
pipa,a solo pipa performance,106,琵琶独奏,43
guzheng,a solo guzheng performance,1,古筝独奏,17
suona,a solo suona performance,80,唢呐独奏,36
drums,drums only,1,鼓,16
vocals,isolated singing voice,1,人声歌唱,13
