速度比,标称BPM,估计BPM,帧级逐帧余弦,节拍同步逐帧余弦,完整管线代价
1.0,120,117.5,1.0,1.0,0.0
1.1,132,161.5,0.396,0.374,0.0678
1.37,164,161.5,0.379,0.751,0.0442
1.6,192,161.5,0.383,0.41,0.0645
