country,participants,percentage
Greece,78,62.4
China,7,5.6
Italy,6,4.8
France,5,4.0
United_Kingdom,5,4.0
Spain,3,2.4
United_States_of_America,3,2.4
Germany,2,1.6
India,2,1.6
Lithuania,2,1.6
South_Korea,2,1.6
Australia,1,0.8
Cyprus,1,0.8
Finland,1,0.8
Hungary,1,0.8
Lebanon,1,0.8
Mexico,1,0.8
Papua_New_Guinea,1,0.8
Portugal,1,0.8
Ukraine,1,0.8
Venezuela,1,0.8
