track,model,stem,sdr,si_sdr,case_id,model_display_name,mode,task,reference_type,duration_sec,estimate_stems
AM Contra - Heart Peripheral,demucs_htdemucs_6stem,other,-1.3938615169097022,-11.757376537548321,musdb_am_contra_heart_peripheral,Demucs htdemucs_6s 6-stem,6stems,musdb_4stem,musdb18hq_from_07_4,20.0,other;guitar;piano
AM Contra - Heart Peripheral,demucs_htdemucs_6stem,vocals,12.13660635308182,11.588959117267617,musdb_am_contra_heart_peripheral,Demucs htdemucs_6s 6-stem,6stems,vocals_accompaniment_2stem,musdb18hq_from_07_4,20.0,vocals
AM Contra - Heart Peripheral,demucs_htdemucs_6stem,accompaniment,16.50582733557927,15.376011752658874,musdb_am_contra_heart_peripheral,Demucs htdemucs_6s 6-stem,6stems,vocals_accompaniment_2stem,musdb18hq_from_07_4,20.0,drums;bass;other;guitar;piano
AM Contra - Heart Peripheral,demucs_htdemucs_ft_2stem,vocals,11.882582959160146,11.445092603398221,musdb_am_contra_heart_peripheral,Demucs htdemucs_ft 2-stem,2stems,vocals_accompaniment_2stem,musdb18hq_from_07_4,20.0,vocals
AM Contra - Heart Peripheral,demucs_htdemucs_ft_2stem,accompaniment,14.615917957557958,13.927524205888508,musdb_am_contra_heart_peripheral,Demucs htdemucs_ft 2-stem,2stems,vocals_accompaniment_2stem,musdb18hq_from_07_4,20.0,accompaniment
AM Contra - Heart Peripheral,demucs_htdemucs_ft_4stem,vocals,11.938658015467915,11.495724927581321,musdb_am_contra_heart_peripheral,Demucs htdemucs_ft 4-stem,4stems,musdb_4stem,musdb18hq_from_07_4,20.0,vocals
AM Contra - Heart Peripheral,demucs_htdemucs_ft_4stem,drums,6.804340145385571,6.263361597890615,musdb_am_contra_heart_peripheral,Demucs htdemucs_ft 4-stem,4stems,musdb_4stem,musdb18hq_from_07_4,20.0,drums
AM Contra - Heart Peripheral,demucs_htdemucs_ft_4stem,bass,1.1096872887416933,0.8561968371247776,musdb_am_contra_heart_peripheral,Demucs htdemucs_ft 4-stem,4stems,musdb_4stem,musdb18hq_from_07_4,20.0,bass
AM Contra - Heart Peripheral,demucs_htdemucs_ft_4stem,other,-4.132001607115043,-8.0456489470479,musdb_am_contra_heart_peripheral,Demucs htdemucs_ft 4-stem,4stems,musdb_4stem,musdb18hq_from_07_4,20.0,other
AM Contra - Heart Peripheral,demucs_htdemucs_ft_4stem,vocals,11.938658015467915,11.495724927581321,musdb_am_contra_heart_peripheral,Demucs htdemucs_ft 4-stem,4stems,vocals_accompaniment_2stem,musdb18hq_from_07_4,20.0,vocals
AM Contra - Heart Peripheral,demucs_htdemucs_ft_4stem,accompaniment,14.716502743469222,14.009180183172038,musdb_am_contra_heart_peripheral,Demucs htdemucs_ft 4-stem,4stems,vocals_accompaniment_2stem,musdb18hq_from_07_4,20.0,drums;bass;other
AM Contra - Heart Peripheral,demucs_mdx_extra_q_4stem,vocals,12.812647587054087,12.334648377486268,musdb_am_contra_heart_peripheral,Demucs mdx_extra_q 4-stem,4stems,musdb_4stem,musdb18hq_from_07_4,20.0,vocals
AM Contra - Heart Peripheral,demucs_mdx_extra_q_4stem,drums,10.569087906838321,10.15679454804949,musdb_am_contra_heart_peripheral,Demucs mdx_extra_q 4-stem,4stems,musdb_4stem,musdb18hq_from_07_4,20.0,drums
AM Contra - Heart Peripheral,demucs_mdx_extra_q_4stem,bass,6.5166261347936505,6.259413983073249,musdb_am_contra_heart_peripheral,Demucs mdx_extra_q 4-stem,4stems,musdb_4stem,musdb18hq_from_07_4,20.0,bass
AM Contra - Heart Peripheral,demucs_mdx_extra_q_4stem,other,2.410542750538032,1.770210029832625,musdb_am_contra_heart_peripheral,Demucs mdx_extra_q 4-stem,4stems,musdb_4stem,musdb18hq_from_07_4,20.0,other
AM Contra - Heart Peripheral,demucs_mdx_extra_q_4stem,vocals,12.812647587054087,12.334648377486268,musdb_am_contra_heart_peripheral,Demucs mdx_extra_q 4-stem,4stems,vocals_accompaniment_2stem,musdb18hq_from_07_4,20.0,vocals
AM Contra - Heart Peripheral,demucs_mdx_extra_q_4stem,accompaniment,17.607697676111794,16.577142123746395,musdb_am_contra_heart_peripheral,Demucs mdx_extra_q 4-stem,4stems,vocals_accompaniment_2stem,musdb18hq_from_07_4,20.0,drums;bass;other
AM Contra - Heart Peripheral,openunmix_umxhq_4stem,vocals,9.139812797531798,7.864546095717807,musdb_am_contra_heart_peripheral,Open-Unmix umxhq 4-stem,4stems,musdb_4stem,musdb18hq_from_07_4,20.0,vocals
AM Contra - Heart Peripheral,openunmix_umxhq_4stem,drums,2.8035134437437637,2.438471000204862,musdb_am_contra_heart_peripheral,Open-Unmix umxhq 4-stem,4stems,musdb_4stem,musdb18hq_from_07_4,20.0,drums
AM Contra - Heart Peripheral,openunmix_umxhq_4stem,bass,-0.7610137258235782,-1.156633324818822,musdb_am_contra_heart_peripheral,Open-Unmix umxhq 4-stem,4stems,musdb_4stem,musdb18hq_from_07_4,20.0,bass
AM Contra - Heart Peripheral,openunmix_umxhq_4stem,other,-7.3967606086150495,-13.421659354529647,musdb_am_contra_heart_peripheral,Open-Unmix umxhq 4-stem,4stems,musdb_4stem,musdb18hq_from_07_4,20.0,other
AM Contra - Heart Peripheral,openunmix_umxhq_4stem,vocals,9.139812797531798,7.864546095717807,musdb_am_contra_heart_peripheral,Open-Unmix umxhq 4-stem,4stems,vocals_accompaniment_2stem,musdb18hq_from_07_4,20.0,vocals
AM Contra - Heart Peripheral,openunmix_umxhq_4stem,accompaniment,13.08000294005031,12.638035636256832,musdb_am_contra_heart_peripheral,Open-Unmix umxhq 4-stem,4stems,vocals_accompaniment_2stem,musdb18hq_from_07_4,20.0,drums;bass;other
AM Contra - Heart Peripheral,torchaudio_hdemucs_high_musdb_plus,vocals,12.46199292322724,11.97738856079524,musdb_am_contra_heart_peripheral,Torchaudio HDemucs High MUSDB+,4stems,musdb_4stem,musdb18hq_from_07_4,20.0,vocals
AM Contra - Heart Peripheral,torchaudio_hdemucs_high_musdb_plus,drums,9.21769064508355,8.933032705699247,musdb_am_contra_heart_peripheral,Torchaudio HDemucs High MUSDB+,4stems,musdb_4stem,musdb18hq_from_07_4,20.0,drums
AM Contra - Heart Peripheral,torchaudio_hdemucs_high_musdb_plus,bass,3.690932306049854,3.5127158255950914,musdb_am_contra_heart_peripheral,Torchaudio HDemucs High MUSDB+,4stems,musdb_4stem,musdb18hq_from_07_4,20.0,bass
AM Contra - Heart Peripheral,torchaudio_hdemucs_high_musdb_plus,other,0.710977221830681,0.34411110609564055,musdb_am_contra_heart_peripheral,Torchaudio HDemucs High MUSDB+,4stems,musdb_4stem,musdb18hq_from_07_4,20.0,other
AM Contra - Heart Peripheral,torchaudio_hdemucs_high_musdb_plus,vocals,12.46199292322724,11.97738856079524,musdb_am_contra_heart_peripheral,Torchaudio HDemucs High MUSDB+,4stems,vocals_accompaniment_2stem,musdb18hq_from_07_4,20.0,vocals
AM Contra - Heart Peripheral,torchaudio_hdemucs_high_musdb_plus,accompaniment,16.999883697476413,16.17035813233901,musdb_am_contra_heart_peripheral,Torchaudio HDemucs High MUSDB+,4stems,vocals_accompaniment_2stem,musdb18hq_from_07_4,20.0,drums;bass;other
