case_id,case_display_name,family,model_id,model_display_name,mode,stem,energy_ratio,reconstruction_error,expected_absent,expected_uncertain,expected_present
musdb_al_james_schoolboy_facination,Al James - Schoolboy Facination,musdb18hq,demucs_htdemucs_ft_2stem,Demucs htdemucs_ft 2-stem,2stems,vocals,0.41272095419278565,0.11080291637569632,False,False,True
musdb_al_james_schoolboy_facination,Al James - Schoolboy Facination,musdb18hq,demucs_htdemucs_6stem,Demucs htdemucs_6s 6-stem,6stems,bass,0.2202038310103873,0.09387398304049062,False,False,True
musdb_al_james_schoolboy_facination,Al James - Schoolboy Facination,musdb18hq,demucs_htdemucs_6stem,Demucs htdemucs_6s 6-stem,6stems,drums,0.09385632555916174,0.09387398304049062,False,False,True
musdb_al_james_schoolboy_facination,Al James - Schoolboy Facination,musdb18hq,demucs_htdemucs_6stem,Demucs htdemucs_6s 6-stem,6stems,guitar,0.03187414775873755,0.09387398304049062,False,False,False
musdb_al_james_schoolboy_facination,Al James - Schoolboy Facination,musdb18hq,demucs_htdemucs_6stem,Demucs htdemucs_6s 6-stem,6stems,other,0.018734871022349067,0.09387398304049062,False,False,True
musdb_al_james_schoolboy_facination,Al James - Schoolboy Facination,musdb18hq,demucs_htdemucs_6stem,Demucs htdemucs_6s 6-stem,6stems,piano,9.537395444330286e-05,0.09387398304049062,False,False,False
musdb_al_james_schoolboy_facination,Al James - Schoolboy Facination,musdb18hq,demucs_htdemucs_6stem,Demucs htdemucs_6s 6-stem,6stems,vocals,0.42944621669919175,0.09387398304049062,False,False,True
musdb_al_james_schoolboy_facination,Al James - Schoolboy Facination,musdb18hq,demucs_mdx_extra_q_4stem,Demucs mdx_extra_q 4-stem,4stems,bass,0.22408498419823514,0.034492732480869134,False,False,True
musdb_al_james_schoolboy_facination,Al James - Schoolboy Facination,musdb18hq,demucs_mdx_extra_q_4stem,Demucs mdx_extra_q 4-stem,4stems,drums,0.09073886181948923,0.034492732480869134,False,False,True
musdb_al_james_schoolboy_facination,Al James - Schoolboy Facination,musdb18hq,demucs_mdx_extra_q_4stem,Demucs mdx_extra_q 4-stem,4stems,other,0.041844535148504086,0.034492732480869134,False,False,True
musdb_al_james_schoolboy_facination,Al James - Schoolboy Facination,musdb18hq,demucs_mdx_extra_q_4stem,Demucs mdx_extra_q 4-stem,4stems,vocals,0.4881238904310679,0.034492732480869134,False,False,True
musdb_al_james_schoolboy_facination,Al James - Schoolboy Facination,musdb18hq,torchaudio_hdemucs_high_musdb_plus,Torchaudio HDemucs High MUSDB+,4stems,bass,0.22605377234379181,0.03598575203611421,False,False,True
musdb_al_james_schoolboy_facination,Al James - Schoolboy Facination,musdb18hq,torchaudio_hdemucs_high_musdb_plus,Torchaudio HDemucs High MUSDB+,4stems,drums,0.09470690893282394,0.03598575203611421,False,False,True
musdb_al_james_schoolboy_facination,Al James - Schoolboy Facination,musdb18hq,torchaudio_hdemucs_high_musdb_plus,Torchaudio HDemucs High MUSDB+,4stems,other,0.052393615244385586,0.03598575203611421,False,False,True
musdb_al_james_schoolboy_facination,Al James - Schoolboy Facination,musdb18hq,torchaudio_hdemucs_high_musdb_plus,Torchaudio HDemucs High MUSDB+,4stems,vocals,0.48322076782322826,0.03598575203611421,False,False,True
musdb_al_james_schoolboy_facination,Al James - Schoolboy Facination,musdb18hq,openunmix_umxhq_4stem,Open-Unmix umxhq 4-stem,4stems,bass,0.1506099126405335,0.0009348954049545364,False,False,True
