task,model,model_display_name,mode,n,mean_sdr,median_sdr,min_sdr,max_sdr,mean_si_sdr,median_si_sdr,min_si_sdr,max_si_sdr
musdb_4stem,demucs_htdemucs_6stem,Demucs htdemucs_6s 6-stem,6stems,8,5.455443905035294,6.6147391954766235,-2.6491443352102104,13.044167896765062,3.628044591114717,5.911526306578207,-11.757376537548321,12.200685219843535
musdb_4stem,demucs_htdemucs_ft_4stem,Demucs htdemucs_ft 4-stem,4stems,8,5.291312274799956,6.893302474946836,-4.132001607115043,13.574906293339613,4.216014564584846,6.06903014166662,-8.0456489470479,12.657002188251056
musdb_4stem,demucs_mdx_extra_q_4stem,Demucs mdx_extra_q 4-stem,4stems,8,8.01031057059937,8.278390335797503,0.9993373334163242,14.21746218055954,7.492549237794735,7.755848753149426,0.30552197641111806,13.893583267637744
musdb_4stem,mixture_baseline,Mixture baseline,musdb_4stem,8,-5.135716631091547,-4.95136378626284,-9.165727682721707,0.6631037812101181,-5.220453324908494,-4.994355581402933,-9.561346437392556,0.6361869782676051
musdb_4stem,openunmix_umxhq_4stem,Open-Unmix umxhq 4-stem,4stems,8,2.2050525049026133,2.888645733622913,-7.3967606086150495,9.139812797531798,0.5221661664406168,2.2382027082375036,-13.421659354529647,7.864546095717807
musdb_4stem,oracle_irm_mixture_phase,Oracle IRM (mixture phase),musdb_4stem,8,6.469397703937213,5.492090259267176,1.6229085099230087,14.393568572000799,6.0631882135695,5.30276561842567,1.0317108762372371,13.9400317449963
musdb_4stem,torchaudio_hdemucs_high_musdb_plus,Torchaudio HDemucs High MUSDB+,4stems,8,7.024760793487687,7.814409259734537,0.007198581798407218,14.480476150442687,6.588457369815124,7.222721469015758,-0.6511762552332244,14.146144077537478
vocals_accompaniment_2stem,demucs_htdemucs_6stem,Demucs htdemucs_6s 6-stem,6stems,4,10.973459218013488,10.08191074121185,7.224188054050984,16.50582733557927,10.26508263739942,9.4734331890801,6.737452418778608,15.376011752658874
vocals_accompaniment_2stem,demucs_htdemucs_ft_2stem,Demucs htdemucs_ft 2-stem,2stems,4,10.29275399686419,9.69542163962126,7.164254750656285,14.615917957557958,9.679251058244462,9.068271992614406,6.652936041860532,13.927524205888508
vocals_accompaniment_2stem,demucs_htdemucs_ft_4stem,Demucs htdemucs_ft 4-stem,4stems,4,10.37458455515787,9.822955607122365,7.1359242629175315,14.716502743469222,9.761491258162463,9.181677059458545,6.673430730560726,14.009180183172038
vocals_accompaniment_2stem,demucs_mdx_extra_q_4stem,Demucs mdx_extra_q 4-stem,4stems,4,12.394760355552759,11.231580168540122,9.508183409018995,17.607697676111794,11.685309484791244,10.793465950355934,8.577163914706707,16.577142123746395
vocals_accompaniment_2stem,mixture_baseline,Mixture baseline,vocals_accompaniment_2stem,4,0.04505516990240546,0.08462217962395951,-4.205612933955877,4.21658925431758,0.024078381550522526,0.05385393246857578,-4.215319619299514,4.2039252805644525
vocals_accompaniment_2stem,openunmix_umxhq_4stem,Open-Unmix umxhq 4-stem,4stems,4,8.618907432927374,7.930191028225882,5.535244735207422,13.08000294005031,7.768355315673906,6.65458410747077,5.126217411497251,12.638035636256832
vocals_accompaniment_2stem,oracle_irm_mixture_phase,Oracle IRM (mixture phase),vocals_accompaniment_2stem,4,13.537909295135123,12.657371982775123,10.09761400721567,18.739279207774572,13.01998969622899,12.280209556452848,9.458887428193732,18.060652243816534
vocals_accompaniment_2stem,torchaudio_hdemucs_high_musdb_plus,Torchaudio HDemucs High MUSDB+,4stems,4,11.859474214112714,10.72504775536532,8.987917648243801,16.999883697476413,11.227194911262146,10.339288134242956,8.059845244223657,16.17035813233901
