model_id,display_name,core,package_available,command_available,dependency_ready,model_ready,install_command,prefetch_command,prefetch_returncode,prefetch_stderr,notes
demucs_htdemucs_ft_4stem,Demucs htdemucs_ft 4-stem,True,True,True,True,True,python -m pip install -r requirements-pretrained.txt,"python -c 'from demucs.pretrained import get_model; get_model('""'""'htdemucs_ft'""'""'); print('""'""'ready:htdemucs_ft'""'""')'",0,,Hybrid Transformer Demucs fine-tuned checkpoint; MUSDB-style 4-stem.
demucs_htdemucs_ft_2stem,Demucs htdemucs_ft 2-stem,True,True,True,True,True,python -m pip install -r requirements-pretrained.txt,"python -c 'from demucs.pretrained import get_model; get_model('""'""'htdemucs_ft'""'""'); print('""'""'ready:htdemucs_ft'""'""')'",0,,vocals/accompaniment; practical karaoke use case.
demucs_htdemucs_6stem,Demucs htdemucs_6s 6-stem,False,True,True,True,True,python -m pip install -r requirements-pretrained.txt,"python -c 'from demucs.pretrained import get_model; get_model('""'""'htdemucs_6s'""'""'); print('""'""'ready:htdemucs_6s'""'""')'",0,,Adds guitar/piano; useful for xiaohetang piano and absent-stem checks.
demucs_mdx_extra_q_4stem,Demucs mdx_extra_q 4-stem,False,True,True,True,True,python -m pip install -r requirements-pretrained.txt,"python -c 'from demucs.pretrained import get_model; get_model('""'""'mdx_extra_q'""'""'); print('""'""'ready:mdx_extra_q'""'""')'",0,,MDX-style Demucs checkpoint; lighter comparison against htdemucs_ft.
torchaudio_hdemucs_high_musdb_plus,Torchaudio HDemucs High MUSDB+,True,True,False,True,True,python -m pip install -r requirements-pretrained.txt,"python -c 'import torchaudio; bundle = torchaudio.pipelines.HDEMUCS_HIGH_MUSDB_PLUS; bundle.get_model(); print('""'""'ready:HDEMUCS_HIGH_MUSDB_PLUS'""'""')'",0,,Official PyTorch/Torchaudio source-separation bundle.
openunmix_umxhq_4stem,Open-Unmix umxhq 4-stem,True,True,False,True,True,python -m pip install -r requirements-pretrained.txt,"python -c 'import openunmix; openunmix.umxhq(targets=['""'""'vocals'""'""','""'""'drums'""'""','""'""'bass'""'""','""'""'other'""'""'], device='""'""'cpu'""'""', pretrained=True); print('""'""'ready:umxhq'""'""')'",0,,Classic STFT magnitude + BLSTM + Wiener filtering baseline; uses a local CLI wrapper.
bs_roformer_audio_separator,BS-RoFormer via audio-separator,False,True,False,True,False,python -m pip install -r requirements-pretrained.txt,python CODE/chapter07/pretrained/audio_separator_cli.py --log_level warning -m model_bs_roformer_ep_317_sdr_12.9755.ckpt --download_model_only --model_file_dir CODE/chapter07/checkpoints/07_4_models/audio_separator,1,"urllib3.exceptions.SSLError: [SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1006) The above exception was the direct cause of the following exception: Traceback (most recent call last): File ""<site-packages>/requests/adapters.py"", line 696, in send resp = conn.urlopen( ^^^^^^^^^^^^^ File ""<site-packages> ...","RoFormer-family checkpoint, usually vocals/accompaniment; uses a local CLI wrapper."
melband_roformer_big_beta4,Mel-RoFormer / MelBand RoFormer Big Beta 4,False,True,False,True,False,python -m pip install -r requirements-pretrained.txt,python CODE/chapter07/pretrained/audio_separator_cli.py --log_level warning -m melband_roformer_big_beta4.ckpt --download_model_only --model_file_dir CODE/chapter07/checkpoints/07_4_models/audio_separator,1,"0%| | 0.00/1.57G [00:00<?, ?iB/s] 0%| | 8.19k/1.57G [00:00<9:55:56, 44.0kiB/s] 0%| | 41.0k/1.57G [00:00<3:44:33, 117kiB/s] 0%| | 57.3k/1.57G [00:00<3:51:11, 114kiB/s] 0%| | 73.7k/1.57G [00:00<6:38:42, 65.8kiB/s] 0%| | 90.1k/1.57G [00:01<5:58:22, 73.2kiB/s] 0%| | 106k/1.57G [00:01<5:49:42, 75.0kiB/s] 0%| | 123k/1.57G [00:01<6:46:49, 64.5kiB/s] 0%| | 131k/1.57G [00:01<7:11:15, 60.8kiB/s] 0%| | 147k/1.57G [00:02<6:18:28, 69.3kiB/s] 0%| | 164k/1.57G [00:02<7:03:01, 62.0kiB/s] 0%| | 197k/1.57G [00:02 ...",Mel-band RoFormer checkpoint; vocals/other target with mel-scale band modeling; uses a local CLI wrapper.
