config_key,mode,family,display_name,n_seeds,train_config,val_acc_mean,val_acc_std,val_acc,val_f1_mean,val_f1_std,val_f1,test_acc_mean,test_acc_std,test_acc,test_f1_mean,test_f1_std,test_f1,ext_acc_mean,ext_acc_std,ext_acc,ext_f1_mean,ext_f1_std,ext_f1,gap_acc_mean,Gap (Acc)
feature_extraction,feature_extraction,Feature Extraction,Feature Extraction,3,"{'epochs': 20, 'batch_size': 32, 'head_lr': 0.001, 'lora_lr': 0.0001, 'full_ft_lr': 1e-05, 'weight_decay': 0.0001, 'num_workers': 0, 'log_every': 5, 'label_smoothing': 0.1, 'warmup_ratio': 0.1, 'grad_clip': 1.0, 'grad_accum_steps': 1, 'early_stop_patience': 5, 'lora_r': 8, 'lora_alpha': 16, 'lora_dropout': 0.1}",0.9923420764852989,0.0038250906884531176,0.992 ± 0.004,0.984495343057126,0.012893003951256738,0.984 ± 0.013,0.9892254114902207,0.006505057703473412,0.989 ± 0.007,0.9903927064685613,0.00615488618956003,0.990 ± 0.006,0.7535519125683061,0.03434372975403428,0.754 ± 0.034,0.7144766542664813,0.045005029316835886,0.714 ± 0.045,0.23567349892191458,+0.236
fullft_lr2em5_wd1em4_ls0p1,fine_tune,Full Fine-tune,FullFT lr=2e-5 wd=1e-4 ls=0.1,3,"{'epochs': 20, 'batch_size': 8, 'head_lr': 0.001, 'lora_lr': 0.0001, 'full_ft_lr': 2e-05, 'weight_decay': 0.0001, 'num_workers': 0, 'log_every': 5, 'label_smoothing': 0.1, 'warmup_ratio': 0.1, 'grad_clip': 1.0, 'grad_accum_steps': 4, 'early_stop_patience': 5, 'lora_r': 8, 'lora_alpha': 16, 'lora_dropout': 0.1}",0.9963963963963964,0.005096265089632775,0.996 ± 0.005,0.9975742234878447,0.003430566042776062,0.998 ± 0.003,0.9903994501949565,0.010687044436091503,0.990 ± 0.011,0.991293149602687,0.009891183879732214,0.991 ± 0.010,0.8797814207650273,0.015397817271699895,0.880 ± 0.015,0.8731926735648936,0.02010347199918585,0.873 ± 0.020,0.11061802942992915,+0.111
fullft_lr1em5_wd1em4_ls0p1,fine_tune,Full Fine-tune,FullFT lr=1e-5 wd=1e-4 ls=0.1,3,"{'epochs': 20, 'batch_size': 8, 'head_lr': 0.001, 'lora_lr': 0.0001, 'full_ft_lr': 1e-05, 'weight_decay': 0.0001, 'num_workers': 0, 'log_every': 5, 'label_smoothing': 0.1, 'warmup_ratio': 0.1, 'grad_clip': 1.0, 'grad_accum_steps': 4, 'early_stop_patience': 5, 'lora_r': 8, 'lora_alpha': 16, 'lora_dropout': 0.1}",0.9916370236063331,0.005553549580449798,0.992 ± 0.006,0.9919643492307578,0.004569552753563655,0.992 ± 0.005,0.9889688350304358,0.010154644872814799,0.989 ± 0.010,0.9903400596497453,0.009480374325512695,0.990 ± 0.009,0.8595628415300546,0.018172993604716803,0.860 ± 0.018,0.853120390053948,0.021768533573555723,0.853 ± 0.022,0.12940599350038118,+0.129
fullft_lr5em6_wd1em4_ls0p1,fine_tune,Full Fine-tune,FullFT lr=5e-6 wd=1e-4 ls=0.1,3,"{'epochs': 20, 'batch_size': 8, 'head_lr': 0.001, 'lora_lr': 0.0001, 'full_ft_lr': 5e-06, 'weight_decay': 0.0001, 'num_workers': 0, 'log_every': 5, 'label_smoothing': 0.1, 'warmup_ratio': 0.1, 'grad_clip': 1.0, 'grad_accum_steps': 4, 'early_stop_patience': 5, 'lora_r': 8, 'lora_alpha': 16, 'lora_dropout': 0.1}",0.9901877482440143,0.00483782949917815,0.990 ± 0.005,0.9895519619138825,0.005365519442556058,0.990 ± 0.005,0.9889688350304358,0.010154644872814799,0.989 ± 0.010,0.9903400596497453,0.009480374325512695,0.990 ± 0.009,0.8295081967213115,0.012768657317538734,0.830 ± 0.013,0.8206178009182016,0.01688153081273659,0.821 ± 0.017,0.15946063830912427,+0.159
lora_r8_a16_d0p1_lr1em4,lora,LoRA,LoRA r=8 alpha=16 dropout=0.1,3,"{'epochs': 20, 'batch_size': 8, 'head_lr': 0.001, 'lora_lr': 0.0001, 'full_ft_lr': 1e-05, 'weight_decay': 0.0001, 'num_workers': 0, 'log_every': 5, 'label_smoothing': 0.1, 'warmup_ratio': 0.1, 'grad_clip': 1.0, 'grad_accum_steps': 4, 'early_stop_patience': 5, 'lora_r': 8, 'lora_alpha': 16, 'lora_dropout': 0.1}",0.9901877482440143,0.00483782949917815,0.990 ± 0.005,0.9907918193624048,0.0036167744498676094,0.991 ± 0.004,0.9889688350304358,0.010154644872814799,0.989 ± 0.010,0.989759231923411,0.009855440957962116,0.990 ± 0.010,0.8327868852459016,0.010105596726178662,0.833 ± 0.010,0.8176235345161621,0.01074820466806511,0.818 ± 0.011,0.15618194978453415,+0.156
lora_r16_a32_d0p1_lr1em4,lora,LoRA,LoRA r=16 alpha=32 dropout=0.1,3,"{'epochs': 20, 'batch_size': 8, 'head_lr': 0.001, 'lora_lr': 0.0001, 'full_ft_lr': 1e-05, 'weight_decay': 0.0001, 'num_workers': 0, 'log_every': 5, 'label_smoothing': 0.1, 'warmup_ratio': 0.1, 'grad_clip': 1.0, 'grad_accum_steps': 4, 'early_stop_patience': 5, 'lora_r': 16, 'lora_alpha': 32, 'lora_dropout': 0.1}",0.9901877482440143,0.00483782949917815,0.990 ± 0.005,0.9907918193624048,0.0036167744498676094,0.991 ± 0.004,0.9906028219585403,0.008025509288698439,0.991 ± 0.008,0.9913178926336821,0.007778352616478066,0.991 ± 0.008,0.8371584699453551,0.005409560074651168,0.837 ± 0.005,0.8215539045603553,0.0030680587296674474,0.822 ± 0.003,0.15344435201318518,+0.153
lora_r4_a8_d0p1_lr1em4,lora,LoRA,LoRA r=4 alpha=8 dropout=0.1,3,"{'epochs': 20, 'batch_size': 8, 'head_lr': 0.001, 'lora_lr': 0.0001, 'full_ft_lr': 1e-05, 'weight_decay': 0.0001, 'num_workers': 0, 'log_every': 5, 'label_smoothing': 0.1, 'warmup_ratio': 0.1, 'grad_clip': 1.0, 'grad_accum_steps': 4, 'early_stop_patience': 5, 'lora_r': 4, 'lora_alpha': 8, 'lora_dropout': 0.1}",0.9887384728816954,0.004936483757394545,0.989 ± 0.005,0.982000610571196,0.011392449410651425,0.982 ± 0.011,0.9889688350304358,0.010154644872814799,0.989 ± 0.010,0.989759231923411,0.009855440957962116,0.990 ± 0.010,0.8191256830601094,0.01081912014930237,0.819 ± 0.011,0.7988161433185872,0.012721786808689343,0.799 ± 0.013,0.1698431519703264,+0.170
